scenario,seed,planner,success,length,max_kappa,elapsed,collision_free,cv,cv_opt,feasible,n_obs,kappa_max,radius,nsampling,th_start,th_goal,start_x,start_y,goal_x,goal_y,xmin,xmax,ymin,ymax
prog03_seed0,0,rrt_star_smooth,True,3.4476733452608217,0.7616632801296858,1.5899500639999928,True,0.0,,True,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed0,0,rrt_star_dubins,True,12.48313092280766,1.36986301369863,17.302917295999976,True,39.608757224565714,,False,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed0,0,modified_dubins_rrt_star_ccpoa,True,11.48280690202851,1.36986301369863,395.47093296799994,False,16.92943704553329,,False,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed0,0,rrt_star_asv,True,3.4054979345075855,1.3698630136991228,46.41844069900003,True,0.8414307015236968,,False,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed0,0,de2d_nurbs,True,3.4238423995401845,1.5590734223360636,0.9710243200000264,True,0.0,0.684758479908037,True,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed0,0,pso2d_nurbs,True,3.4434979647492407,1.591619053136713,5.0039570900000285,True,0.0,0.17218943980349885,True,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed0,0,rrt_star,True,3.480880475026294,,1.253801741000018,True,0.09563720808322179,,False,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed0,0,rrt_star_smooth,True,3.4476733452608217,0.7616632801296858,1.2507498459999624,True,0.0,,True,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed0,0,rrt_star_dubins,True,3.4177954986833994,1.36986301369863,73.40868953500001,True,0.5415275521818201,,False,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed0,0,modified_dubins_rrt_star_ccpoa,True,11.48280690202851,1.36986301369863,213.32685266899995,False,16.92943704553329,,False,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed0,0,rrt_star_asv,True,3.4054979345075855,1.3698630136991228,98.14227450499999,True,0.8414307015236968,,False,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed0,0,de2d_nurbs,True,3.4204346511239256,1.57491688630759,1.4196928769999886,True,0.0,0.6840769302247852,True,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog04_seed0,0,pso2d_nurbs,True,3.4413324999019475,1.5371047045078838,4.967626200000041,True,0.0,0.17205662499509738,True,4,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
